timestamp,epoch,event,coin,direction,timeframe,strategy,order_type,entry_price,exit_price,shares,cost_usd,pnl_gross,pnl_net,fees,pnl_pct,balance_after,mode,confidence,reason,market_id,trade_id,duration_secs,win_streak,loss_streak,size_multiplier
2026-03-08T16:58:19.098595Z,1772989099,BUY,SOL,DOWN,5,time_decay,FOK,0.6200,,2.00,1.24,,,,,1.04,SEED,0.950,,1525304,ee223f80,,0,0,1.00
2026-03-08T16:58:35.187254Z,1772989115,SELL,SOL,DOWN,5,time_decay,FOK,0.6200,0.8300,2.00,1.24,0.4200,0.3823,0.0377,30.8,3.90,SEED,0.950,profit_take,1525304,ee223f80,16,1,0,1.05
2026-03-08T16:59:43.101548Z,1772989183,BUY,SOL,UP,5,time_decay,FOK,0.5400,,2.00,1.08,,,,,1.51,SEED,0.950,,1525304,6b15e070,,1,0,1.05
2026-03-08T17:05:04.460113Z,1772989504,SETTLE,SOL,UP,5,time_decay,FOK,0.5400,1.0000,2.00,1.08,0.9200,0.0000,0.0000,0.0,3.52,SEED,0.950,market_settled,1525304,6b15e070,321,1,0,1.05
2026-03-08T17:08:00.814092Z,1772989680,BUY,SOL,DOWN,5,time_decay,FOK,0.5500,,2.00,1.10,,,,,2.42,SEED,0.950,,1525400,e6b5da49,,1,0,1.05
2026-03-08T17:08:25.711989Z,1772989705,SELL,SOL,DOWN,5,time_decay,FOK,0.5500,0.8000,2.00,1.10,0.5000,0.4566,0.0434,41.5,3.98,SEED,0.950,profit_take,1525400,e6b5da49,24,2,0,1.10
2026-03-08T17:12:05.172067Z,1772989925,BUY,ETH,DOWN,15,book_imbalance,FOK,0.1700,,6.00,1.02,,,,,2.16,SEED,0.930,,1525383,3e96c68f,,2,0,1.10
2026-03-08T17:13:03.834068Z,1772989983,SELL,ETH,DOWN,15,book_imbalance,FOK,0.1700,0.0700,6.00,1.02,-0.6000,-0.6362,0.0362,-62.4,2.54,SEED,0.930,stop_loss,1525383,3e96c68f,58,0,1,1.05
2026-03-08T17:18:14.725225Z,1772990294,BUY,SOL,DOWN,5,time_decay,GTC,0.6300,,5.00,3.15,,,,,0.16,SEED,0.980,,1525572,91c5b8f0,,0,1,1.05
2026-03-08T17:18:52.435658Z,1772990332,SELL,SOL,DOWN,5,time_decay,GTC,0.6300,0.3900,5.00,3.15,-1.2000,-1.3387,0.1387,-42.5,1.97,SEED,0.980,stop_loss,1525572,91c5b8f0,37,0,2,1.00
2026-03-08T17:23:34.300994Z,1772990614,BUY,BTC,DOWN,5,book_imbalance,FOK,0.6500,,1.60,1.04,,,,,1.04,SEED,0.930,,1525580,c7f9ddbf,,0,2,1.00
2026-03-08T17:23:44.626188Z,1772990624,SELL,BTC,DOWN,5,book_imbalance,FOK,0.6500,0.5400,1.60,1.04,-0.1760,-0.2214,0.0454,-21.3,1.86,SEED,0.930,stop_loss,1525580,c7f9ddbf,10,0,3,0.95
2026-03-08T17:33:47.328813Z,1772991227,BUY,SOL,DOWN,5,time_decay,FOK,0.7000,,1.50,1.05,,,,,0.82,SEED,0.930,,1525596,19427099,,0,3,0.95
2026-03-08T17:40:06.657594Z,1772991606,SETTLE,SOL,DOWN,5,time_decay,FOK,0.7000,1.0000,1.50,1.05,0.4500,0.0000,0.0000,0.0,2.33,SEED,0.930,market_settled,1525596,19427099,379,0,3,0.95
2026-03-08T17:54:42.778711Z,1772992482,BUY,SOL,DOWN,5,time_decay,FOK,0.5900,,2.00,1.18,,,,,1.15,SEED,0.910,,1525632,f4b0e24f,,0,3,0.95
2026-03-08T18:00:12.679815Z,1772992812,SETTLE,SOL,DOWN,5,time_decay,FOK,0.5900,1.0000,2.00,1.18,0.8200,0.0000,0.0000,0.0,1.15,SEED,0.910,market_settled,1525632,f4b0e24f,329,0,3,0.95
